Individual	Easting	Northing	Habitat	Daily_movement_rate(km/day)	Turning_angle_(radians)	dist_water (meters)	dist_swamp (meters)	dist_otw (meters)	dist_openfor (meters)	dist_ntw (meters)	dist_mixfor (meters)	dist_devel  (meters)	dist_ddf (meters)	dist_conifer (meters)	dist_alvar (meters)
elk-115	776709	4993501	17	1.12	-2.42	158.11	37051.43	1358.54	213.60	12303.86	0.00	15532.33	50.00	125.00	65876.10
elk-115	776399	4992429	14	0.10	2.82	70.71	36000.01	279.51	776.21	11504.59	25.00	14426.10	450.69	0.00	64796.80
elk-115	776396	4992511	1	0.09	-0.55	0.00	36075.01	353.55	760.35	11571.79	25.00	14499.42	496.24	70.71	64871.51
elk-115	776335	4992602	17	0.21	2.35	50.00	36175.08	460.98	800.39	11683.59	0.00	14586.83	570.64	150.00	64966.80
elk-115	776507	4992569	1	0.13	1.88	0.00	36125.04	400.78	654.31	11572.87	90.14	14569.60	431.57	111.80	64930.10
elk-115	776447	4992458.5	14	0.59	1.59	25.00	36025.00	300.00	721.54	11504.84	25.00	14461.18	425.73	0.00	64826.08
elk-115	775931	4992751.5	16	0.46	1.98	50.00	36352.20	800.39	1202.34	12020.04	0.00	14682.05	141.42	378.32	65107.99
elk-115	776295	4993025	17	0.16	-3.14	247.49	36600.14	883.88	835.54	12076.84	0.00	14998.02	369.12	485.41	65388.10
elk-115	776165	4992927.5	17	0.12	1.34	247.49	36500.70	814.32	976.28	12041.41	0.00	14875.57	353.55	452.77	65277.91
elk-115	776072	4993004.5	17	0.21	-2.82	106.07	36601.44	942.40	1020.42	12175.41	0.00	14955.02	276.13	570.09	65369.30
elk-115	776184	4992825.5	16	1.96	0.09	201.56	36400.70	719.81	958.19	11951.80	0.00	14777.43	353.55	353.55	65178.25
elk-115	777064	4991072.5	17	2.58	-2.84	75.00	34603.61	740.35	1437.23	10006.56	0.00	13200.38	158.11	766.89	63453.63
elk-115	776652	4993622	16	0.07	1.27	25.00	37176.02	1471.39	254.95	12438.47	0.00	15643.41	100.00	25.00	65996.03
elk-115	776719	4993655.5	14	0.41	0.19	75.00	37201.64	1510.38	190.39	12432.84	25.00	15684.15	145.77	0.00	66027.76
elk-115	777113	4993766	17	2.40	1.72	225.00	37282.54	1711.18	134.63	12356.63	0.00	15610.99	431.57	190.39	66140.25
elk-115	777417	4991386	13	1.05	2.86	141.42	34885.98	1076.16	1101.14	10090.62	35.36	13570.23	0.00	886.00	63764.89
elk-115	777002	4992350.5	16	1.12	-3.13	416.08	35878.84	482.83	305.16	11145.99	0.00	14437.49	25.00	325.00	64725.04
elk-115	777428	4991319.5	13	0.02	0.78	111.80	34835.99	1102.55	1151.09	10045.18	25.00	13522.44	0.00	873.21	63715.16
elk-115	777422	4991305	13	0.29	0.96	103.08	34811.00	1116.36	1176.06	10022.47	25.00	13498.54	0.00	867.83	63690.29
elk-115	777139	4991241	16	6.81	0.39	226.38	34755.18	877.85	1267.38	10095.95	0.00	13372.08	25.00	831.04	63612.73
elk-115	770419	4992371	13	7.75	0.83	111.80	36727.32	500.00	6592.80	8789.80	150.00	11171.42	0.00	437.32	64925.58
elk-115	766185	4998858	13	0.46	-1.68	442.30	44043.20	2101.34	650.00	13369.98	100.00	5403.93	0.00	583.63	71812.88
elk-115	765829	4998566	16	0.67	-1.38	701.78	43875.39	1690.04	548.29	13063.91	0.00	5510.73	55.90	693.27	71585.35
elk-115	766146	4997978	17	0.24	-2.19	450.69	43206.84	1362.21	884.59	12490.82	0.00	6190.16	35.36	167.71	70945.02
elk-115	766270	4998230	13	0.27	2.75	230.49	43420.92	1644.12	1090.01	12763.55	145.77	6004.22	0.00	167.71	71186.07
elk-115	766255	4998004.5	16	0.04	-2.79	325.00	43205.67	1472.46	995.62	12537.77	0.00	6207.10	35.36	190.39	70962.83
elk-115	766272	4998042.5	16	0.02	-0.02	309.23	43254.63	1505.20	1027.74	12586.92	0.00	6160.00	25.00	176.78	71012.74
elk-115	766280	4998061.5	16	0.01	-2.57	285.04	43249.54	1523.98	1046.72	12591.51	0.00	6168.47	35.36	152.07	71011.34
elk-115	766272	4998056	16	0.02	-1.80	285.04	43249.54	1523.98	1046.72	12591.51	0.00	6168.47	35.36	152.07	71011.34
elk-115	766290	4998039.5	16	0.01	2.60	292.62	43225.07	1507.69	1030.78	12566.95	0.00	6191.98	50.00	158.11	70986.38
elk-115	766285	4998040.5	16	1.89	0.93	285.04	43249.54	1523.98	1046.72	12591.51	0.00	6168.47	35.36	152.07	71011.34
elk-115	765475	4999743	18	9.38	2.59	625.50	45101.14	2150.15	50.00	13874.62	0.00	4293.38	206.16	285.04	72798.66
elk-115	777267	4992071	16	1.09	-2.15	482.83	35583.44	701.78	427.20	10770.59	0.00	14213.42	79.06	673.15	64451.08
elk-115	777265	4992619	20	0.06	-0.14	145.77	36134.42	862.05	0.00	11258.03	50.00	14756.57	106.07	257.39	65003.32
elk-115	777256	4992681.5	17	0.87	-0.21	176.78	36184.41	887.76	25.00	11304.34	0.00	14804.77	145.77	237.17	65053.07
elk-115	776953	4993502.5	18	0.91	-3.14	134.63	37029.46	1411.56	75.00	12186.29	0.00	15565.07	285.04	223.61	65874.55
elk-115	777268	4992645.5	20	1.07	0.31	160.08	36159.41	874.64	0.00	11281.18	25.00	14780.67	125.00	246.22	65028.19
elk-115	777316	4991576	13	1.63	2.91	336.34	35084.12	910.01	908.64	10303.70	75.00	13740.11	0.00	1001.25	63956.16
elk-115	776726	4993671.5	14	0.42	1.13	75.00	37201.64	1510.38	190.39	12432.84	25.00	15684.15	145.77	0.00	66027.76
elk-115	777043	4993948	16	1.56	2.47	213.60	37456.54	1852.36	176.78	12538.07	0.00	15728.72	251.25	75.00	66309.58
elk-115	776766	4992417	17	2.95	2.99	195.26	35951.25	336.34	469.71	11307.66	0.00	14455.54	176.78	225.00	64778.47
elk-115	776833	4994890.5	16	0.65	-0.64	794.51	38428.94	2040.83	111.80	13505.60	0.00	15739.00	35.36	471.70	67265.98
elk-115	776523	4995333	16	0.08	-1.45	800.39	38875.97	2112.02	235.85	14022.15	0.00	15245.84	200.00	548.29	67689.23
elk-115	776456	4995297.5	16	0.66	-1.83	735.27	38850.52	2191.03	313.25	14024.55	0.00	15201.67	175.00	618.97	67657.74
elk-115	776902	4994814	13	2.84	0.65	853.30	38330.10	2031.78	134.63	13386.30	55.90	15859.80	0.00	371.65	67173.45
elk-115	777179	4991985	16	0.62	3.12	592.66	35506.42	612.88	522.02	10742.44	0.00	14114.20	125.00	715.89	64366.48
elk-115	777105	4992600.5	16	0.54	-2.88	309.23	36130.85	715.02	79.06	11325.25	0.00	14710.99	25.00	125.00	64985.98
elk-115	777028	4992069.5	13	3.21	2.84	583.63	35604.25	475.66	485.41	10885.11	25.00	14177.89	0.00	575.54	64453.74
elk-115	776527	4995235.5	18	0.03	1.16	725.00	38775.98	2142.57	301.04	13928.23	0.00	15306.88	100.00	577.17	67589.62
elk-115	776565	4995259.5	18	15.98	-2.31	777.82	38801.36	2087.16	247.49	13934.58	0.00	15331.18	125.00	575.54	67618.95
elk-115	766301	4998105.5	13	0.11	-1.38	251.25	43293.45	1575.79	1098.29	12645.28	35.36	6130.10	0.00	125.00	71059.87
elk-115	766260	4998022	16	2.25	1.92	316.23	43230.15	1488.71	1011.50	12562.34	0.00	6183.55	25.00	182.00	70987.78
elk-115	764694	4999644	17	0.05	-0.46	125.00	45226.82	2632.61	200.00	14100.64	0.00	4147.36	247.49	538.52	72804.27
elk-115	764651	4999659.5	17	0.04	-1.68	100.00	45256.84	2659.53	175.00	14124.12	0.00	4118.94	282.84	553.40	72831.08
elk-115	764641	4999617.5	17	0.00	2.44	150.00	45213.83	2611.99	201.56	14072.76	0.00	4164.88	251.25	594.24	72783.11
elk-115	764639	4999621.5	17	0.44	-2.02	150.00	45213.83	2611.99	201.56	14072.76	0.00	4164.88	251.25	594.24	72783.11
elk-115	764372	4999275	17	0.17	-2.83	525.59	44967.21	2340.54	538.52	13734.10	0.00	4458.49	50.00	656.22	72482.43
elk-115	764511	4999371	17	0.22	-1.13	382.43	45029.35	2408.45	403.11	13840.27	0.00	4370.71	90.14	831.04	72570.27
elk-115	764469	4999629	16	0.09	-1.58	160.08	45278.34	2659.18	167.71	14088.87	0.00	4119.47	90.14	749.17	72821.46
elk-115	764396	4999616.5	16	0.17	-2.78	215.06	45295.75	2672.19	190.39	14085.74	0.00	4112.86	35.36	813.17	72827.34
elk-115	764564	4999584	17	1.29	2.08	175.00	45206.64	2595.43	201.56	14043.73	0.00	4180.01	175.00	673.15	72763.88
elk-115	763731	4998600.5	19	0.11	-1.10	675.46	44526.19	2001.41	35.36	13100.60	0.00	4563.24	437.32	141.42	71917.08
elk-115	763772	4998502.5	19	4.25	0.63	630.97	44423.11	1923.05	35.36	13000.38	0.00	4539.27	371.65	230.49	71815.23
elk-115	762768	4994377.5	1	1.96	-0.56	0.00	40921.94	715.89	1744.28	9083.54	25.00	3349.07	316.23	670.82	67943.45
elk-115	763383	4992511	17	3.88	1.53	527.38	38968.04	206.16	2392.96	7135.21	0.00	4976.51	336.34	581.49	66002.16
elk-115	759748	4991166	16	9.50	2.44	530.33	39291.74	275.00	250.00	7590.95	0.00	4814.63	200.00	195.26	65455.91
elk-115	764441	4999431.5	17	0.19	-2.21	325.00	45113.92	2490.98	340.04	13912.94	0.00	4291.42	25.00	816.24	72648.95
elk-115	764251	4999408.5	13	0.50	2.94	355.32	45136.60	2510.60	437.32	13880.76	25.00	4303.56	0.00	630.97	72640.00
elk-115	764722	4999565.5	17	1.81	1.08	201.56	45148.10	2556.00	275.00	14027.32	0.00	4225.30	180.28	548.86	72727.62
elk-115	766247	4998110	13	2.98	2.97	301.04	43303.58	1538.87	1061.25	12636.08	35.36	6112.95	0.00	175.00	71062.66
elk-115	764179	4999482	16	1.00	-1.71	250.00	45227.27	2603.00	416.08	13953.79	0.00	4226.18	70.71	618.97	72720.88
elk-115	763745	4998578	19	0.98	3.12	675.46	44526.19	2001.41	35.36	13100.60	0.00	4563.24	437.32	141.42	71917.08
elk-115	764152	4999469.5	16	1.92	2.93	230.49	45233.23	2610.08	430.12	13953.23	0.00	4225.67	90.14	601.04	72722.94
elk-115	763748	4997590	16	0.92	2.89	237.17	43572.48	1131.92	79.06	12101.27	0.00	4138.01	215.06	100.00	70925.78
elk-115	763709	4998508	19	0.03	1.72	626.50	44459.98	1923.05	35.36	13025.86	0.00	4506.18	360.56	176.78	71844.64
elk-115	763737	4998505	19	7.05	0.65	638.85	44453.63	1934.23	25.00	13025.60	0.00	4528.38	375.00	195.26	71842.38
elk-115	770538	4992019	13	4.65	1.00	125.00	36366.90	167.71	6543.13	8609.04	246.22	11407.37	0.00	279.51	64575.24
elk-115	769955	4988975.5	13	7.29	2.57	25.00	33530.44	807.77	7084.67	6105.84	134.63	10996.28	0.00	70.71	61583.12
elk-115	766289	4997970.5	17	3.87	-0.98	313.25	43176.11	1475.85	1000.00	12517.81	0.00	6239.04	70.71	180.28	70936.46
elk-115	763766	4998503.5	19	3.67	-1.36	630.97	44423.11	1923.05	35.36	13000.38	0.00	4539.27	371.65	230.49	71815.23
elk-115	762262	4995155	17	3.79	3.13	79.06	41821.79	845.95	1457.74	9948.52	0.00	2560.40	75.00	460.98	68790.48
elk-115	763765	4998633.5	19	7.90	1.23	625.00	44568.24	2057.30	25.00	13150.38	0.00	4608.96	403.11	125.00	71964.63
elk-115	772959	4997988	17	0.21	1.51	749.17	41853.98	575.54	925.00	14151.41	0.00	10811.34	125.00	691.47	70398.95
elk-115	772958	4997778.5	16	0.21	-3.12	657.65	41630.55	800.00	1150.00	14376.76	0.00	10925.03	70.71	831.04	70173.18
elk-115	772963	4997990	17	0.67	-2.16	749.17	41853.98	575.54	925.00	14151.41	0.00	10811.34	125.00	691.47	70398.95
elk-115	772494	4997692.5	16	2.09	-0.25	206.16	41606.32	961.77	1261.20	14340.59	0.00	10600.29	50.00	406.97	70107.98
elk-115	770814	4995925	13	3.25	2.95	309.23	40144.62	1985.10	3020.97	11960.82	79.06	10472.11	0.00	158.11	68450.77
elk-115	772564	4998667	14	0.71	2.16	103.08	42572.00	300.00	305.16	13461.24	50.00	10123.36	158.11	0.00	71086.41
elk-115	772899	4997906	16	0.47	2.02	650.00	41782.96	651.92	1001.25	14227.66	0.00	10795.20	176.78	691.47	70321.25
elk-115	772584	4997916.5	16	0.21	-1.07	406.97	41824.79	716.33	1019.80	14211.64	0.00	10540.43	55.90	443.00	70336.00
elk-115	772458	4997704.5	16	0.13	0.42	167.71	41634.42	964.69	1250.00	14331.19	0.00	10545.64	55.90	353.55	70131.45
elk-115	772368	4997641	19	1.03	0.80	55.90	41591.02	1060.95	1328.53	14231.94	0.00	10499.43	25.00	269.26	70078.55
elk-115	771189	4997859.5	16	1.45	-3.12	279.51	41981.54	1826.37	1075.00	13844.52	0.00	9432.56	195.26	230.49	70355.13
elk-115	772369	4997614	13	0.01	2.47	50.00	41566.07	1081.67	1352.08	14211.70	25.00	10515.29	0.00	279.51	70053.55
elk-115	772361	4997610	13	0.64	3.02	55.90	41541.13	1102.55	1375.68	14191.48	35.36	10531.17	0.00	291.55	70028.56
elk-115	772806	4997906.5	17	0.46	-2.84	581.49	41786.98	661.91	1007.78	14229.30	0.00	10735.02	176.78	645.17	70318.57
elk-115	772366	4997775	19	0.17	-1.41	167.71	41714.10	945.05	1202.60	14347.32	0.00	10440.22	25.00	275.00	70204.21
elk-115	772388	4997602.5	13	0.36	2.72	79.06	41539.48	1089.15	1367.71	14206.21	25.00	10550.47	0.00	313.25	70029.28
elk-115	772197	4997912	16	0.17	-1.78	226.38	41875.54	957.21	1144.83	14208.49	0.00	10209.86	141.42	70.71	70349.33
elk-115	772074	4997794.5	14	0.22	-1.79	145.77	41784.64	1117.20	1296.63	14216.03	25.00	10175.86	250.00	0.00	70246.18
elk-115	772257	4997672	16	1.43	-1.77	25.00	41622.69	1101.14	1342.80	14193.84	0.00	10406.31	90.14	167.71	70100.75
elk-115	772893	4999213	17	1.46	-3.05	515.39	43076.22	309.23	145.77	12926.18	0.00	10162.00	254.95	230.49	71624.04
elk-115	772211	4997918	16	0.28	-2.94	230.49	41873.81	938.42	1131.92	14206.80	0.00	10229.40	125.00	90.14	70349.99
elk-115	772361	4998099.5	16	0.44	-1.88	375.00	42038.41	710.63	905.88	14022.84	0.00	10240.24	55.90	206.16	70529.08
elk-115	771950	4998266	14	0.40	-2.55	391.31	42263.84	958.19	877.85	13849.93	50.00	9820.93	160.08	0.00	70719.25
elk-115	772175	4997935.5	16	0.13	-0.38	251.25	41900.48	941.08	1123.61	14183.55	0.00	10194.27	125.00	55.90	70374.32
elk-115	772281	4997863.5	16	0.55	-0.30	213.60	41818.84	919.24	1140.45	14251.89	0.00	10319.22	50.00	180.28	70302.05
elk-115	772808	4997701.5	16	1.13	-1.86	502.49	41588.65	863.13	1209.34	14429.87	0.00	10836.11	55.90	704.01	70117.81
elk-115	772823	4999023	20	1.75	-2.75	391.31	42880.20	100.00	0.00	13127.38	70.71	10200.28	301.04	158.11	71421.44
elk-115	772256	4997677	16	0.80	-2.48	25.00	41622.69	1101.14	1342.80	14193.84	0.00	10406.31	90.14	167.71	70100.75
elk-115	772953	4998067.5	16	0.61	-3.11	710.63	41928.88	500.62	850.00	14076.42	0.00	10767.46	145.77	645.17	70473.91
elk-115	772237	4997692	16	1.14	1.07	25.00	41649.35	1098.29	1330.65	14199.69	0.00	10371.11	125.00	134.63	70125.07
elk-115	771602	4998112	17	0.51	-0.52	630.97	42168.43	1353.01	929.05	14011.00	0.00	9606.02	201.56	348.21	70586.52
elk-115	771097	4998142.5	16	0.60	3.02	134.63	42262.35	1806.24	803.51	14025.62	0.00	9193.24	195.26	275.00	70629.25
elk-115	771691	4998181.5	17	0.35	-2.84	654.31	42210.14	1243.23	900.35	13950.56	0.00	9651.72	127.48	237.17	70638.38
elk-115	771291	4998279.5	19	0.20	2.99	313.25	42368.51	1612.45	679.15	13873.90	0.00	9263.50	35.36	254.95	70756.72
elk-115	771488	4998261	19	0.09	2.00	450.69	42326.25	1417.97	752.08	13873.47	0.00	9433.48	145.77	371.65	70734.76
elk-115	771444	4998185	17	0.91	-1.73	475.66	42255.78	1480.71	807.00	13953.94	0.00	9442.72	212.13	403.11	70658.95
elk-115	772157	4997914	16	0.83	-3.09	225.00	41877.28	976.28	1158.12	14210.23	0.00	10190.34	160.08	50.00	70348.68
elk-115	771273	4998303.5	19	0.77	2.84	291.55	42393.41	1604.88	654.31	13849.12	0.00	9247.47	25.00	230.49	70781.72
elk-115	771915	4998232.5	17	0.08	1.92	447.21	42242.61	1013.04	886.00	13879.17	0.00	9796.75	141.42	25.00	70693.11
elk-115	771879	4998160	17	0.68	1.29	527.38	42171.59	1083.11	946.37	13958.35	0.00	9803.86	182.00	90.14	70617.02
elk-115	771208	4998279	17	0.48	2.99	250.00	42375.26	1683.93	675.00	13884.10	0.00	9206.15	25.00	250.00	70755.73
elk-115	771763	4998264.5	16	1.29	-0.64	570.64	42278.98	1152.44	831.04	13868.33	0.00	9663.37	70.71	150.00	70714.87
elk-115	772818	4999003	20	1.58	2.33	369.12	42881.47	100.00	0.00	13127.88	90.14	10178.96	285.04	134.63	71420.54
elk-115	772618	4997701.5	17	1.13	3.02	328.82	41598.69	910.01	1237.44	14415.03	0.00	10698.16	90.14	530.33	70111.92
elk-115	772658	4998832	17	0.38	0.51	150.00	42716.07	145.77	125.00	13307.61	0.00	10124.23	300.00	25.00	71239.60
elk-115	772886	4999207	17	0.78	2.13	525.59	43051.25	285.04	125.00	12951.18	0.00	10174.63	261.01	254.95	71599.05
elk-115	773177	4998624.5	17	0.31	3.02	719.81	42440.34	230.49	371.65	13550.00	0.00	10701.08	25.00	167.71	71009.24
elk-115	772975	4998931	20	1.59	-1.97	480.88	42774.15	35.36	0.00	13225.59	150.00	10359.11	257.39	25.00	71326.13
elk-115	772241	4997833.5	17	1.21	-2.84	167.71	41797.28	972.43	1185.33	14279.99	0.00	10295.78	90.14	145.77	70275.69
elk-115	773182	4998599.5	17	1.22	-3.05	728.87	42415.36	247.49	395.28	13575.00	0.00	10714.53	35.36	190.39	70984.27
elk-115	772167	4997923.5	16	0.94	2.75	225.00	41877.28	976.28	1158.12	14210.23	0.00	10190.34	160.08	50.00	70348.68
elk-115	772695	4998702	17	0.01	-0.70	235.85	42588.51	152.07	226.38	13430.96	0.00	10234.41	235.85	90.14	71116.36
elk-115	772624	4999358.5	13	0.00	-0.64	553.40	43238.91	460.98	134.63	12782.07	25.00	9870.47	0.00	206.16	71765.14
elk-115	772571	4999415.5	13	0.01	-2.91	515.39	43316.54	546.01	160.08	12708.88	90.14	9789.57	0.00	275.00	71838.45
elk-115	772575	4999408.5	13	0.01	-2.48	522.02	43291.58	522.02	141.42	12733.86	90.14	9802.10	0.00	250.00	71813.46
elk-115	772576	4999415.5	13	0.00	0.32	515.39	43316.54	546.01	160.08	12708.88	90.14	9789.57	0.00	275.00	71838.45
elk-115	772577	4999417.5	13	0.00	1.23	515.39	43316.54	546.01	160.08	12708.88	90.14	9789.57	0.00	275.00	71838.45
elk-115	772581	4999417	13	0.00	3.14	515.39	43316.54	546.01	160.08	12708.88	90.14	9789.57	0.00	275.00	71838.45
elk-115	772577	4999417.5	13	0.00	-1.70	515.39	43316.54	546.01	160.08	12708.88	90.14	9789.57	0.00	275.00	71838.45
elk-115	772577	4999416.5	13	0.01	2.41	515.39	43316.54	546.01	160.08	12708.88	90.14	9789.57	0.00	275.00	71838.45
elk-115	772573	4999421	13			515.39	43316.54	546.01	160.08	12708.88	90.14	9789.57	0.00	275.00	71838.45
elk-163	777384	4992540	20	5.87		25.00	36036.88	910.01	0.00	11127.81	55.90	14687.28	55.90	395.28	64913.95
elk-163	773322	4988298	17	1.22	-2.21	213.60	32195.27	1805.89	4011.23	8864.68	0.00	10203.06	632.95	1353.01	60692.65
elk-163	774533	4988145	13	0.52	-2.74	180.28	31900.49	1007.78	2848.79	9529.56	103.08	10013.30	0.00	965.66	60524.84
elk-163	774081	4988411	16	0.17	-2.56	111.80	32196.24	1116.36	3259.60	9605.34	0.00	10258.81	55.90	1285.50	60775.33
elk-163	774158	4988256	16	0.89	-1.84	125.00	32042.51	1150.27	3200.10	9645.37	0.00	10112.37	100.00	1294.70	60629.30
elk-163	774822	4988845	13	1.51	-3.07	90.14	32563.86	265.75	2479.54	9758.07	25.00	10717.39	0.00	627.00	61218.05
elk-163	773522	4987853.5	17	0.55	-3.10	35.36	31735.28	1895.06	3922.37	8913.61	0.00	9750.51	270.42	1457.74	60248.82
